# i,j,k,Xi,Yj,Zk,Bxi,Bxj,Bxk,Bmagnitude,Gradientx,Bgradienty,Bgradientz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,1.730086826625356695e-10,4.325217066563391738e-11,-8.650434133126783477e-11,1.982063460464159512e-10,2.367951369181524201e-10,1.426286351486970856e-10,-1.766217796608890877e-10
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,-1.884055415323356019e-11,-4.710138538308390047e-12,9.420277076616780095e-12,2.158456638552685710e-11,2.530290509416208032e-10,1.964618348611665929e-10,6.847147614072093141e-11
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,-2.925422911807133888e-10,-7.313557279517834719e-11,1.462711455903566944e-10,3.351492983278578140e-10,-1.383967667868672052e-11,9.923987029259854688e-11,3.573842424228085789e-10
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-1.666666666666666519e+00,-6.427416372339833681e-10,-1.606854093084958420e-10,3.213708186169916841e-10,7.363530512311439697e-10,1.336349635604960164e-11,1.873101294048168805e-10,4.261850301509482520e-10
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.555555555555553582e-01,-1.036551876218335176e-09,-2.591379690545837941e-10,5.182759381091675881e-10,1.187519358629754318e-09,1.315458949780979532e-10,3.329361021042123250e-10,4.419160616851815460e-10
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,-1.414213562372695372e-09,-3.535533905931738429e-10,7.071067811863476858e-10,1.620185174601507062e-09,2.689684631846419647e-10,4.806464875899305663e-10,3.852476705848822989e-10
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,-1.709095347365244035e-09,-4.272738368413110088e-10,8.545476736826220175e-10,1.958014699799518916e-09,3.725500574538865611e-10,5.779385268742338112e-10,2.652715455609115987e-10
0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,2.777777777777778567e+00,-1.877309538468239785e-09,-4.693273846170599463e-10,9.386547692341198926e-10,2.150728265723330259e-09,4.114755195401014436e-10,5.972524949997740034e-10,1.174021941849588674e-10
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,3.888888888888889284e+00,-1.914049420358188152e-09,-4.785123550895470379e-10,9.570247101790940758e-10,2.192819088169436651e-09,3.892955985409908493e-10,5.482070716886165204e-10,-1.783051677855541291e-11
0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,5.000000000000000000e+00,-1.846182036442369098e-09,-4.615455091105922746e-10,9.230910182211845492e-10,2.115067232166219433e-09,3.309156152483911079e-10,4.616251189808220434e-10,-7.775185600321721718e-11
